original,es,emoji,uk,ru,de,it,fr,pt,zh-cn,th,ja,ko,ar,hi,bn,id,ur,vi,tr,fa,rw,ta
The ratio of high-frequency to low-frequency energy energy in the signal,La relación de alta frecuencia con energía de energía de baja frecuencia en la señal,,Співвідношення високочастотної до низькочастотної енергії в сигналі,Отношение высокочастотной к низкочастотной энергии энергии в сигнале,Das Verhältnis von Hochfrequenz zu niedriger Frequenzenergie Energie im Signal,Il rapporto tra energia ad alta frequenza e energia a bassa frequenza nel segnale,Le rapport de l'énergie énergétique à haute fréquence à basse fréquence dans le signal,A proporção de energia de alta frequência e baixa frequência na energia no sinal,高频与信号中低频能量的比率,อัตราส่วนพลังงานความถี่สูงต่อพลังงานความถี่ต่ำในสัญญาณ,信号内の高周波と低周波エネルギーエネルギーの比,신호의 고주파 대 저주파 에너지 에너지의 비율,نسبة التردد العالي إلى طاقة الطاقة منخفضة التردد في الإشارة,सिग्नल में कम-आवृत्ति ऊर्जा ऊर्जा के लिए उच्च आवृत्ति का अनुपात,সিগন্যালে নিম্ন-ফ্রিকোয়েন্সি শক্তি শক্তির সাথে উচ্চ-ফ্রিকোয়েন্সি অনুপাত,Rasio frekuensi tinggi terhadap energi energi frekuensi rendah dalam sinyal,سگنل میں کم تعدد توانائی توانائی سے اعلی تعدد کا تناسب,Tỷ lệ năng lượng tần số cao với năng lượng tần số thấp trong tín hiệu,Sinyalde yüksek frekansın düşük frekans enerjisine oranı,نسبت انرژی فرکانس بالا به انرژی با فرکانس پایین در سیگنال,Ikigereranyo cyo hejuru-inshuro nyinshi kubaha ingufu-zingufu mubimenyetso,சிக்னலில் குறைந்த அதிர்வெண் ஆற்றல் ஆற்றலுக்கான உயர் அதிர்வெண் விகிதம்
The ratio of energy in high-frequency bands compared to the total energy of the sound,La relación de energía en bandas de alta frecuencia en comparación con la energía total del sonido,,Співвідношення енергії у високочастотних смугах порівняно із загальною енергією звуку,Соотношение энергии в высокочастотных полосах по сравнению с общей энергией звука,Das Verhältnis von Energie in Hochfrequenzbändern im Vergleich zur Gesamtenergie des Klangs,Il rapporto di energia nelle bande ad alta frequenza rispetto all'energia totale del suono,Le rapport d'énergie dans les bandes à haute fréquence par rapport à l'énergie totale du son,A proporção de energia em bandas de alta frequência em comparação com a energia total do som,与声音的总能量相比，高频带中的能量之比,อัตราส่วนพลังงานในแถบความถี่สูงเมื่อเทียบกับพลังงานทั้งหมดของเสียง,音の総エネルギーと比較した高周波バンドのエネルギーの比率,소리의 총 에너지와 비교하여 고주파 밴드의 에너지 비율,نسبة الطاقة في نطاقات التردد العالية مقارنة مع إجمالي طاقة الصوت,ध्वनि की कुल ऊर्जा की तुलना में उच्च आवृत्ति बैंड में ऊर्जा का अनुपात,শব্দের মোট শক্তির তুলনায় উচ্চ-ফ্রিকোয়েন্সি ব্যান্ডগুলিতে শক্তির অনুপাত,Rasio energi dalam pita frekuensi tinggi dibandingkan dengan energi total suara,آواز کی کل توانائی کے مقابلے میں اعلی تعدد والے بینڈوں میں توانائی کا تناسب,Tỷ lệ năng lượng trong các dải tần số cao so với tổng năng lượng của âm thanh,"Yüksek frekanslı bantlardaki enerji oranı, sesin toplam enerjisine kıyasla",نسبت انرژی در باندهای با فرکانس بالا در مقایسه با کل انرژی صدا,Igipimo cyingufu mumatsinda menshi ugereranije nimbaraga zose zijwi,ஒலியின் மொத்த ஆற்றலுடன் ஒப்பிடும்போது உயர் அதிர்வெண் பட்டையில் ஆற்றலின் விகிதம்
The ratio of energy in medium-frequency bands compared to the total energy of the sound,La relación de energía en bandas de frecuencia media en comparación con la energía total del sonido,,Співвідношення енергії в смугах середньої частоти порівняно із загальною енергією звуку,Соотношение энергии в среднечастотных полосах по сравнению с общей энергией звука,Das Verhältnis von Energie in mittleren Frequenzbändern im Vergleich zur Gesamtenergie des Schalls,Il rapporto tra energia nelle bande di media frequenza rispetto all'energia totale del suono,Le rapport d'énergie dans les bandes de fréquence moyenne par rapport à l'énergie totale du son,A proporção de energia em bandas de média frequência em comparação com a energia total do som,与声音的总能量相比,อัตราส่วนพลังงานในแถบความถี่ขนาดกลางเมื่อเทียบกับพลังงานทั้งหมดของเสียง,音の総エネルギーと比較した中周波バンドのエネルギーの比率,소리의 총 에너지와 비교하여 중간 주파수 밴드의 에너지 비율,نسبة الطاقة في نطاقات التردد المتوسطة مقارنة مع إجمالي طاقة الصوت,ध्वनि की कुल ऊर्जा की तुलना में मध्यम-आवृत्ति बैंड में ऊर्जा का अनुपात,সাউন্ডের মোট শক্তির তুলনায় মাঝারি ফ্রিকোয়েন্সি ব্যান্ডগুলিতে শক্তির অনুপাত,Rasio energi dalam pita frekuensi menengah dibandingkan dengan energi total suara,درمیانی تعدد بینڈوں میں توانائی کا تناسب آواز کی کل توانائی کے مقابلے میں,Tỷ lệ năng lượng trong các dải tần số trung bình so với tổng năng lượng của âm thanh,Sesin toplam enerjisine kıyasla orta frekans bantlarında enerji oranı,نسبت انرژی در باندهای با فرکانس متوسط ​​در مقایسه با کل انرژی صدا,Igipimo cyingufu mumatsinda aciriritse ugereranije nimbaraga zose zijwi,ஒலியின் மொத்த ஆற்றலுடன் ஒப்பிடும்போது நடுத்தர அதிர்வெண் பட்டையில் ஆற்றலின் விகிதம்
The ratio of energy in low-frequency bands compared to the total energy of the sound,La relación de energía en bandas de baja frecuencia en comparación con la energía total del sonido,,Співвідношення енергії в низькочастотних смугах порівняно із загальною енергією звуку,Соотношение энергии в низкочастотных полосах по сравнению с общей энергией звука,Das Verhältnis von Energie in Niederfrequenzbändern im Vergleich zur Gesamtenergie des Schalls,Il rapporto di energia nelle bande a bassa frequenza rispetto all'energia totale del suono,Le rapport d'énergie dans les bandes à basse fréquence par rapport à l'énergie totale du son,A proporção de energia em bandas de baixa frequência em comparação com a energia total do som,与声音的总能量相比，低频带中的能量之比,อัตราส่วนพลังงานในแถบความถี่ต่ำเมื่อเทียบกับพลังงานทั้งหมดของเสียง,音の総エネルギーと比較した低周波バンドのエネルギーの比率,소리의 총 에너지와 비교하여 저주파 밴드의 에너지 비율,نسبة الطاقة في نطاقات التردد المنخفضة مقارنة مع إجمالي طاقة الصوت,ध्वनि की कुल ऊर्जा की तुलना में कम-आवृत्ति बैंड में ऊर्जा का अनुपात,শব্দের মোট শক্তির তুলনায় কম ফ্রিকোয়েন্সি ব্যান্ডগুলিতে শক্তির অনুপাত,Rasio energi dalam pita frekuensi rendah dibandingkan dengan energi total suara,آواز کی کل توانائی کے مقابلے میں کم تعدد والے بینڈوں میں توانائی کا تناسب,Tỷ lệ năng lượng trong các dải tần số thấp so với tổng năng lượng của âm thanh,"Düşük frekanslı bantlardaki enerji oranı, sesin toplam enerjisine kıyasla",نسبت انرژی در باندهای با فرکانس پایین در مقایسه با کل انرژی صدا,Igipimo cyingufu mumatsinda make ugereranije nimbaraga zose zijwi,ஒலியின் மொத்த ஆற்றலுடன் ஒப்பிடும்போது குறைந்த அதிர்வெண் பட்டையில் ஆற்றலின் விகிதம்
A measure of the proportion of harmonic (periodic) energy to noise (non-periodic) energy in the signal,Una medida de la proporción de energía armónica (periódica) a ruido (no periódico) en la señal,,Міра частки гармонічної (періодичної) енергії до шуму (неперіодичної) енергії в сигналі,Мера доли гармонической (периодической) энергии к шуму (непериодической) энергии в сигнале,Ein Maß für den Anteil der harmonischen (periodischen) Energie zu Rausch (nicht periodischer) Energie im Signal,Una misura della percentuale di energia armonica (periodica) a energia del rumore (non periodica) nel segnale,Une mesure de la proportion d'énergie harmonique (périodique) au bruit (non périodique) dans le signal,Uma medida da proporção de energia harmônica (periódica) ao ruído (não periódico) energia no sinal,信号中谐波（周期性）能量与噪声（非周期性）能量的比例的度量,การวัดสัดส่วนของพลังงานฮาร์มอนิก (เป็นระยะ) ต่อพลังงานเสียง (ไม่ผ่านช่วงเวลา) ในสัญญาณ,信号内の高調波（周期）エネルギー（非周期）エネルギーの割合の尺度,신호에서 고조파 (주기적) 에너지에 에너지 (주기적) 에너지의 비율의 측정,مقياس لنسبة الطاقة التوافقية (الدورية) إلى طاقة الضوضاء (غير الفائقة) في الإشارة,सिग्नल में शोर (गैर-आवासीय) ऊर्जा के लिए हार्मोनिक (आवधिक) ऊर्जा के अनुपात का एक उपाय,সিগন্যালে সুরেলা (পর্যায়ক্রমিক) শক্তির (অ-পর্যায়ক্রমে) শক্তির অনুপাতের একটি পরিমাপ,Ukuran proporsi energi harmonik (periodik) terhadap energi noise (non-periodik) dalam sinyal,سگنل میں شور (غیر متواتر) توانائی کے لئے ہارمونک (متواتر) توانائی کے تناسب کا ایک پیمانہ,Thước đo tỷ lệ năng lượng hài hòa (định kỳ) với năng lượng nhiễu (không định kỳ) trong tín hiệu,Sinyaldeki harmonik (periyodik) enerjinin gürültüye (periyodik olmayan) enerjiye oranının bir ölçüsü,اندازه گیری نسبت انرژی هارمونیک (دوره ای) به انرژی نویز (غیر دوره ای) در سیگنال,Igipimo cyagereranijwe cya chinonic (ibihe) imbaraga kurusaku (bitari) imbaraga mubimenyetso,சமிக்ஞையில் உள்ள சத்தத்திற்கு (காலமற்ற) ஆற்றலின் ஹார்மோனிக் (கால) ஆற்றலின் விகிதத்தின் அளவீடு
The ratio of energy between the first harmonic (H1) and the second harmonic (H2),La relación de energía entre el primer armónico (H1) y el segundo armónico (H2),,Співвідношення енергії між першою гармонікою (H1) та другою гармонікою (H2),Отношение энергии между первой гармонией (H1) и второй гармоникой (H2),Das Energieverhältnis zwischen dem ersten Harmonischen (H1) und dem zweiten Harmonischen (H2),Il rapporto di energia tra la prima armonica (H1) e la seconda armonica (H2),Le rapport de l'énergie entre la première harmonique (H1) et la deuxième harmonique (H2),A proporção de energia entre o primeiro harmônico (H1) e o segundo harmônico (H2),第一谐波（H1）和第二谐波（H2）之间的能量之比,อัตราส่วนพลังงานระหว่างฮาร์มอนิกแรก (H1) และฮาร์มอนิกที่สอง (H2),最初の高調波（H1）と2番目の高調波（H2）の間のエネルギーの比率,첫 번째 고조파 (H1)와 두 번째 고조파 (H2) 사이의 에너지 비율,نسبة الطاقة بين التوافقي الأول (H1) والتوافقي الثاني (H2),पहले हार्मोनिक (H1) और दूसरे हार्मोनिक (H2) के बीच ऊर्जा का अनुपात,প্রথম সুরেলা (এইচ 1) এবং দ্বিতীয় সুরেলা (এইচ 2) এর মধ্যে শক্তির অনুপাত,Rasio energi antara harmonik pertama (H1) dan harmonik kedua (H2),پہلے ہارمونک (H1) اور دوسرے ہارمونک (H2) کے مابین توانائی کا تناسب,Tỷ lệ năng lượng giữa sóng hài thứ nhất (H1) và sóng hài thứ hai (H2),Birinci harmonik (H1) ve ikinci harmonik (H2) arasındaki enerji oranı,نسبت انرژی بین هارمونیک اول (H1) و هارمونیک دوم (H2),Ikigereranyo cyingufu hagati ya chinonic yambere (H1) na Harnic ya kabiri (H2),முதல் ஹார்மோனிக் (எச் 1) மற்றும் இரண்டாவது ஹார்மோனிக் (எச் 2) ஆகியவற்றுக்கு இடையிலான ஆற்றலின் விகிதம்
The total power or intensity of the sound signal at the pitch frequency over time,La potencia total o la intensidad de la señal de sonido en la frecuencia de paso a lo largo del tiempo,,Загальна потужність або інтенсивність звукового сигналу на частоті кроку з часом,Общая мощность или интенсивность звукового сигнала на частоте высоты тона с течением времени,Die Gesamtleistung oder Intensität des Schallsignals bei der Tonhöhenfrequenz über die Zeit,La potenza totale o l'intensità del segnale sonore alla frequenza del tono nel tempo,La puissance ou l'intensité totale du signal sonore à la fréquence de pas dans le temps,A potência total ou intensidade do sinal de som na frequência de afinação ao longo do tempo,随着时间的推移，音高频率下声信号的总功率或强度,พลังงานทั้งหมดหรือความเข้มของสัญญาณเสียงที่ความถี่ระดับเสียงเมื่อเวลาผ่านไป,時間の経過に伴うピッチ周波数でのサウンド信号の総パワーまたは強度,시간이 지남에 따라 피치 주파수에서 사운드 신호의 총 전력 또는 강도,إجمالي الطاقة أو شدة إشارة الصوت عند تردد الملعب مع مرور الوقت,समय के साथ पिच आवृत्ति पर ध्वनि संकेत की कुल शक्ति या तीव्रता,সময়ের সাথে পিচ ফ্রিকোয়েন্সিতে সাউন্ড সিগন্যালের মোট শক্তি বা তীব্রতা,Kekuatan total atau intensitas sinyal suara pada frekuensi pitch dari waktu ke waktu,وقت کے ساتھ ساتھ پچ تعدد پر صوتی سگنل کی کل طاقت یا شدت,Tổng công suất hoặc cường độ của tín hiệu âm thanh ở tần số cao độ theo thời gian,Zaman içindeki perde frekansındaki ses sinyalinin toplam gücü veya yoğunluğu,قدرت یا شدت کل سیگنال صدا در فرکانس زمین به مرور زمان,Imbaraga zose cyangwa ubukana bwikimenyetso cyamajwi mukibuga inshuro mugihe,காலப்போக்கில் சுருதி அதிர்வெண்ணில் ஒலி சமிக்ஞையின் மொத்த சக்தி அல்லது தீவிரம்
"The second active resonant frequency of the voice, also known as F2, important for distinguishing vowel sounds","La segunda frecuencia resonante activa de la voz, también conocida como F2, importante para distinguir los sonidos de las vocales",,"Друга активна резонансна частота голосу, також відома як F2, важлива для розрізнення голосних звуків","Вторая активная резонансная частота голоса, также известная как F2, важная для отличия звуков гласных","Die zweite aktive Resonanzfrequenz der Stimme, auch als F2 bekannt, wichtig, um Vokalgeräusche zu unterscheiden","La seconda frequenza di risonanza attiva della voce, nota anche come F2, importante per distinguere i suoni vocali","La deuxième fréquence de résonance active de la voix, également connue sous le nom de F2, importante pour distinguer les sons de voyelle","A segunda frequência ressonante ativa da voz, também conhecida como F2, importante para distinguir sons de vogais",声音的第二个主动谐振频率，也称为F2，对于区分元音很重要,ความถี่เรโซแนนท์ที่ใช้งานครั้งที่สองของเสียงหรือที่เรียกว่า F2 ซึ่งสำคัญสำหรับการแยกเสียงสระ,F2とも呼ばれる音声の2番目のアクティブな共振周波数は、母音の音を区別するために重要です,F2라고도하는 음성의 두 번째 활성 공진 주파수는 모음 소리를 구별하는 데 중요합니다.,التردد الثاني النشط للرنين للصوت ، المعروف أيضًا باسم F2 ، مهم للتمييز بين أصوات حرف العلة,"आवाज की दूसरी सक्रिय गुंजयमान आवृत्ति, जिसे एफ 2 के रूप में भी जाना जाता है, स्वर ध्वनियों को अलग करने के लिए महत्वपूर्ण है","ভয়েসের দ্বিতীয় সক্রিয় অনুরণিত ফ্রিকোয়েন্সি, যা এফ 2 নামেও পরিচিত, স্বর শব্দের পৃথক করার জন্য গুরুত্বপূর্ণ","Frekuensi resonansi aktif kedua dari suara, juga dikenal sebagai F2, penting untuk membedakan suara vokal",آواز کی دوسری فعال گونج فریکوئنسی ، جسے ایف 2 بھی کہا جاتا ہے ، جو سر کی آوازوں کو ممتاز کرنے کے لئے اہم ہے,"Tần số cộng hưởng hoạt động thứ hai của giọng nói, còn được gọi là F2, quan trọng để phân biệt âm thanh nguyên âm","F2 olarak da bilinen sesin ikinci aktif rezonans frekansı, sesli harf seslerini ayırt etmek için önemli",دومین فرکانس رزونانس فعال صدا ، که به عنوان F2 نیز شناخته می شود ، برای تمایز صداهای واکه مهم است,"Inshuro ya kabiri ikora neza yijwi, izwi kandi nka F2, ingenzi mugutandukanya amajwi","குரலின் இரண்டாவது செயலில் அதிர்வு அதிர்வெண், எஃப் 2 என்றும் அழைக்கப்படுகிறது, இது உயிரெழுத்து ஒலிகளை வேறுபடுத்துவதற்கு முக்கியமானது"
"The first active resonant frequency of the voice, also known as F1, critical for determining vowel quality","La primera frecuencia resonante activa de la voz, también conocida como F1, crítica para determinar la calidad de las vocales",,"Перша активна резонансна частота голосу, також відома як F1, критична для визначення якості голосних","Первая активная резонансная частота голоса, также известная как F1, критическая для определения качества гласного","Die erste aktive Resonanzfrequenz der Stimme, auch als F1 bekannt, entscheidet für die Bestimmung der Vokalqualität","La prima frequenza di risonanza attiva della voce, nota anche come F1, fondamentale per determinare la qualità vocale","La première fréquence de résonance active de la voix, également connue sous le nom de F1, critique pour déterminer la qualité des voyelles","A primeira frequência ressonante ativa da voz, também conhecida como F1, crítica para determinar a qualidade da vogal",声音的第一个主动谐振频率，也称为F1，对于确定元音质量至关重要,ความถี่เรโซแนนท์ครั้งแรกของเสียงหรือที่เรียกว่า F1 ซึ่งสำคัญสำหรับการกำหนดคุณภาพเสียงสระ,F1とも呼ばれる音声の最初のアクティブな共振周波数は、母音の品質を決定するために重要です,F1로도 알려진 첫 번째 활성 공진 주파수는 모음 품질을 결정하는 데 중요합니다.,أول تردد رنان نشط للصوت ، والمعروف أيضًا باسم F1 ، وهو أمر مهم لتحديد جودة حرف العلة,"आवाज की पहली सक्रिय गुंजयमान आवृत्ति, जिसे एफ 1 के रूप में भी जाना जाता है, स्वर गुणवत्ता का निर्धारण करने के लिए महत्वपूर्ण है","ভয়েসের প্রথম সক্রিয় অনুরণন ফ্রিকোয়েন্সি, যা এফ 1 হিসাবেও পরিচিত, স্বর গুণমান নির্ধারণের জন্য সমালোচনামূলক","Frekuensi resonansi aktif pertama suara, juga dikenal sebagai F1, penting untuk menentukan kualitas vokal",آواز کی پہلی فعال گونج فریکوئنسی ، جسے ایف 1 کے نام سے بھی جانا جاتا ہے ، سر کے معیار کا تعین کرنے کے لئے اہم ہے,"Tần số cộng hưởng hoạt động đầu tiên của giọng nói, còn được gọi là F1, rất quan trọng để xác định chất lượng nguyên âm","Sesli sesin ilk aktif rezonans frekansı, sesli harf kalitesini belirlemek için kritik kritik",اولین فرکانس رزونانس فعال صدا ، که به عنوان F1 نیز شناخته می شود ، برای تعیین کیفیت واکه بسیار مهم است,"Inshuro ya mbere ikora inshuro yijwi, azwi kandi nka F1, unenga kugena ubuziranenge bwijwi","குரலின் முதல் செயலில் அதிர்வு அதிர்வெண், எஃப் 1 என்றும் அழைக்கப்படுகிறது, இது உயிரெழுத்து தரத்தை தீர்மானிக்க முக்கியமானதாகும்"
The second resonant frequency,La segunda frecuencia resonante,,Друга резонансна частота,Вторая резонансная частота,Die zweite Resonanzfrequenz,La seconda frequenza di risonanza,La deuxième fréquence de résonance,A segunda frequência ressonante,第二个谐振频率,ความถี่เรโซแนนท์ครั้งที่สอง,2番目の共振周波数,두 번째 공명 주파수,تردد الرنين الثاني,दूसरा गुंजयमान आवृत्ति,দ্বিতীয় অনুরণন ফ্রিকোয়েন্সি,Frekuensi resonansi kedua,دوسرا گونج فریکوئنسی,Tần số cộng hưởng thứ hai,İkinci rezonans frekansı,فرکانس رزونانس دوم,Inshuro ya kabiri,இரண்டாவது அதிர்வு அதிர்வெண்
The first resonant frequency,La primera frecuencia resonante,,Перша резонансна частота,Первая резонансная частота,Die erste Resonanzfrequenz,La prima frequenza di risonanza,La première fréquence de résonance,A primeira frequência ressonante,第一个共振频率,ความถี่เรโซแนนท์ครั้งแรก,最初の共振周波数,첫 번째 공명 주파수,تردد الرنين الأول,पहली गुंजयमान आवृत्ति,প্রথম অনুরণন ফ্রিকোয়েন্সি,Frekuensi resonansi pertama,پہلی گونج فریکوئنسی,Tần số cộng hưởng đầu tiên,İlk rezonans frekansı,اولین فرکانس رزونانس,Inshuro nyinshi,முதல் அதிர்வு அதிர்வெண்
"The perceived frequency of a sound, representing how high or low a tone is","La frecuencia percibida de un sonido, que representa cuán alto o bajo es un tono",,"Сприйнята частота звуку, що представляє, наскільки високий або низький тон","Воспринимаемая частота звука, представляющая, насколько высокий или низкий тон тон","Die wahrgenommene Frequenz eines Klangs, der darstellt, wie hoch oder niedrig ein Ton ist","La frequenza percepita di un suono, che rappresenta quanto sia alto o basso","La fréquence perçue d'un son, représentant la hauteur ou la tonne","A frequência percebida de um som, representando o quão alto ou baixo é um tom",声音的感知频率，表示音调高或低的声音,ความถี่ที่รับรู้ของเสียงแสดงถึงระดับเสียงสูงหรือต่ำ,音の知覚周波数は、トーンの高さまたは低いものを表します,톤이 얼마나 높거나 낮은지를 나타내는 소리의 인식 된 사운드 주파수,التردد المتصور للصوت ، يمثل مدى ارتفاع أو انخفاض النغمة,"एक ध्वनि की कथित आवृत्ति, यह दर्शाता है कि एक टोन कितना उच्च या निम्न है","একটি শব্দের অনুভূত ফ্রিকোয়েন্সি, এটি কতটা উচ্চ বা নিম্ন সুরটি উপস্থাপন করে","Frekuensi yang dirasakan dari suatu suara, mewakili seberapa tinggi atau rendah nada",آواز کی سمجھی جانے والی تعدد ، اس کی نمائندگی کرتی ہے کہ ایک لہجہ کتنا اونچا یا کم ہے,"Tần số nhận thức của âm thanh, thể hiện âm thanh cao hoặc thấp","Bir sesin algılanan frekansı, bir tonun ne kadar yüksek veya düşük olduğunu temsil eder",فرکانس درک شده یک صدا ، نشان دهنده میزان صدای زیاد یا پایین است,"Inshuro igaragara yijwi, igereranya uburyo bwo hejuru cyangwa buke ni","ஒரு ஒலியின் உணரப்பட்ட அதிர்வெண், ஒரு தொனி எவ்வளவு அதிகமாகவோ அல்லது குறைவாகவோ இருக்கிறது என்பதைக் குறிக்கிறது"
"A measure of the perceived volume of the sound, calculated based on the sound pressure level","Una medida del volumen percibido del sonido, calculado en función del nivel de presión del sonido",,"Міра сприйнятого обсягу звуку, обчислена на основі рівня звукового тиску","Мера воспринимаемого объема звука, рассчитанная на основе уровня звукового давления","Ein Maß für das wahrgenommene Volumen des Schalls, berechnet basierend auf dem Schalldruckpegel","Una misura del volume percepito del suono, calcolata in base al livello di pressione sonora","Une mesure du volume perçu du son, calculé en fonction du niveau de pression sonore","Uma medida do volume percebido do som, calculado com base no nível de pressão do som",根据声压水平计算的声音感知体积的度量,การวัดปริมาณการรับรู้ของเสียงที่คำนวณตามระดับความดันเสียง,音の圧力レベルに基づいて計算された、サウンドの知覚ボリュームの尺度,사운드 압력 레벨에 따라 계산 된 사운드의 인식 된 볼륨 측정 값,مقياس للحجم المتصور للصوت ، محسوب بناءً على مستوى ضغط الصوت,"ध्वनि की कथित मात्रा का एक माप, ध्वनि दबाव स्तर के आधार पर गणना की गई",শব্দ চাপ স্তরের উপর ভিত্তি করে গণনা করা শব্দটির অনুভূত ভলিউমের একটি পরিমাপ,"Ukuran volume suara yang dirasakan, dihitung berdasarkan tingkat tekanan suara",آواز کے دباؤ کی سطح کی بنیاد پر حساب کردہ آواز کے سمجھے ہوئے حجم کا ایک پیمانہ,"Thước đo thể tích nhận thức của âm thanh, được tính toán dựa trên mức áp suất âm thanh",Ses basıncı seviyesine göre hesaplanan sesin algılanan hacminin bir ölçüsü,اندازه گیری حجم درک شده صدا ، بر اساس سطح فشار صدا محاسبه می شود,"Igipimo cyimibare igaragara amajwi, kubara ukurikije urwego rwumuvuduko wurusaku","ஒலியின் உணரப்பட்ட அளவின் அளவீடு, ஒலி அழுத்த மட்டத்தின் அடிப்படையில் கணக்கிடப்படுகிறது"
"Open Audio Tools is designed to provide objective real-time feedback on your voice, helping you understand and improve it according to your needs.","Open Audio Tools está diseñado para proporcionar comentarios objetivos en tiempo real sobre su voz, ayudándole a comprenderlo y mejorarlo de acuerdo con sus necesidades.",,"Відкриті аудіоінструменти розроблені для надання об'єктивних відгуків у режимі реального часу про ваш голос, допомагаючи зрозуміти та вдосконалити його відповідно до ваших потреб.","Open Audio Tools предназначены для предоставления объективных отзывов в реальном времени вашего голоса, помогая вам понять и улучшить его в соответствии с вашими потребностями.","Open Audio Tools wurde entwickelt, um objektives Echtzeit-Feedback zu Ihrer Stimme zu geben und Ihnen dabei zu helfen, es entsprechend Ihren Anforderungen zu verstehen und zu verbessern.","Open Audio Tools è progettato per fornire un feedback oggettivo in tempo reale sulla tua voce, aiutandoti a capirlo e migliorarlo in base alle tue esigenze.","Open Audio Tools est conçu pour fournir des commentaires objectifs en temps réel sur votre voix, vous aidant à le comprendre et à l'améliorer en fonction de vos besoins.","O Open Audio Tools foi projetado para fornecer feedback objetivo em tempo real sobre sua voz, ajudando você a entender e melhorá-la de acordo com suas necessidades.",开放音频工具旨在为您的声音提供客观的实时反馈，从而根据需要帮助您理解和改进它。,Open Audio Tools ได้รับการออกแบบมาเพื่อให้ข้อเสนอแนะแบบเรียลไทม์ตามวัตถุประสงค์เกี่ยวกับเสียงของคุณช่วยให้คุณเข้าใจและปรับปรุงตามความต้องการของคุณ,Open Audio Toolsは、あなたの音声に関する客観的なリアルタイムフィードバックを提供するように設計されており、あなたのニーズに応じてそれを理解し、改善するのに役立ちます。,Open Audio Tools는 목소리에 대한 객관적인 실시간 피드백을 제공하여 요구에 따라 이해하고 개선 할 수 있도록 설계되었습니다.,تم تصميم Open Audio Tools لتوفير ملاحظات موضوعية في الوقت الفعلي على صوتك ، مما يساعدك على فهمها وتحسينها وفقًا لاحتياجاتك.,"ओपन ऑडियो टूल्स को आपकी आवाज पर उद्देश्य वास्तविक समय की प्रतिक्रिया प्रदान करने के लिए डिज़ाइन किया गया है, जो आपको अपनी आवश्यकताओं के अनुसार समझने और सुधारने में मदद करता है।","ওপেন অডিও সরঞ্জামগুলি আপনার ভয়েস সম্পর্কে উদ্দেশ্যমূলক রিয়েল-টাইম প্রতিক্রিয়া সরবরাহ করার জন্য ডিজাইন করা হয়েছে, আপনাকে আপনার প্রয়োজন অনুসারে এটি বুঝতে এবং উন্নত করতে সহায়তা করে।","Open Audio Tools dirancang untuk memberikan umpan balik real-time yang obyektif tentang suara Anda, membantu Anda memahami dan memperbaikinya sesuai dengan kebutuhan Anda.",اوپن آڈیو ٹولز کو آپ کی آواز پر معروضی ریئل ٹائم آراء فراہم کرنے کے لئے ڈیزائن کیا گیا ہے ، جس سے آپ کو اپنی ضروریات کے مطابق سمجھنے اور بہتر بنانے میں مدد ملتی ہے۔,"Các công cụ âm thanh mở được thiết kế để cung cấp phản hồi thời gian thực khách quan về giọng nói của bạn, giúp bạn hiểu và cải thiện nó theo nhu cầu của bạn.","Open Audio Tools, sesiniz hakkında objektif gerçek zamanlı geri bildirim sağlamak ve ihtiyaçlarınıza göre anlamanıza ve geliştirmenize yardımcı olmak için tasarlanmıştır.",Open Audio Tools به گونه ای طراحی شده است که بازخورد عینی در زمان واقعی را در مورد صدای شما فراهم می کند و به شما در درک و بهبود آن مطابق نیاز خود کمک می کند.,"Gufungura ibikoresho bya Audio byateguwe kugirango utange ibitekerezo-bifatika kumajwi yawe, bigufasha kubyumva no kunoza ukurikije ibyo ukeneye.","திறந்த ஆடியோ கருவிகள் உங்கள் குரலில் புறநிலை நிகழ்நேர கருத்துக்களை வழங்க வடிவமைக்கப்பட்டுள்ளன, மேலும் உங்கள் தேவைகளுக்கு ஏற்ப அதைப் புரிந்துகொண்டு மேம்படுத்த உதவுகிறது."
